"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","8,730","59.82%","2,259","52.45%","10,989","57.88%"
"White","5,731","39.27%","2,002","46.48%","7,733","40.73%"
"Hispanic","74","0.51%","15","0.35%","89","0.47%"
"Native American","25","0.17%","7","0.16%","32","0.17%"
"Asian","35","0.24%","24","0.56%","59","0.31%"
"Data Unavailable","0","0.00%","0","0.00%","83","0.44%"
"TOTAL","14,595","100.00%","4,307","100.00%","18,985","100.00%"
