"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,576","61.40%","388","31.96%","4,964","57.27%"
"White","2,822","37.86%","815","67.13%","3,637","41.96%"
"Hispanic","28",".38%","7",".58%","35",".40%"
"Native American","10",".13%","2",".16%","12",".14%"
"Asian","13",".17%","1",".08%","14",".16%"
"Data Unavailable","4",".05%","1",".08%","5",".06%"
"TOTAL","7,453","100.00%","1,214","100.00%","8,667","100.00%"
