"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,356","59.57%","2,657","47.98%","14,013","56.96%"
"White","7,342","38.51%","2,791","50.40%","10,133","41.19%"
"Hispanic","131","0.69%","18","0.33%","149","0.61%"
"Native American","24","0.13%","","0.07%","28","0.11%"
"Asian","52","0.27%","84","0.14%","60","0.24%"
"Data Unavailable","159","0.83%","60","1.08%","219","0.89%"
"TOTAL","19,064","100.00%","5,538","100.00%","24,602","100.00%"
