"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,146","58.96%","2,676","51.20%","12,822","57.15%"
"White","6,719","39.05%","2,448","46.83%","9,167","40.86%"
"Hispanic","119","0.69%","19","0.36%","138","0.62%"
"Native American","20","0.12%","5","0.10%","25","0.11%"
"Asian","41","0.24%","17","0.33%","58","0.26%"
"Data Unavailabl","163","0.95%","62","1.19%","225","1.00%"
"TOTAL","17,208","100.00%","5,227","100.00%","22,435","100.00%"
