"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,657","60.05%","2,776","47.99%","14,433","57.28%"
"White","7,443","38.34%","2,930","50.65%","10,373","41.17%"
"Hispanic","128",".66%","18",".31%","146",".58%"
"Native American","19",".10%","7",".12%","26",".10%"
"Asian","59",".30%","13",".22%","72",".29%"
"Data Unavailable","105",".54%","41",".71%","146",".58%"
"TOTAL","19,411","100.00%","5,785","100.00%","25,196","100.00%"
