"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,534","58.56%","2,444","46.50%","12,978","55.83%"
"White","6,998","38.90%","2,694","51.26%","9,692","41.69%"
"Hispanic","149","0.83%","22","0.42%","171","0.74%"
"Native American","23","0.13%","","0.04%","25","0.11%"
"Asian","50","0.28%","52","0.10%","55","0.24%"
"Data Unavailable","235","1.31%","89","1.69%","324","1.39%"
"TOTAL","17,989","100.00%","5,256","100.00%","23,245","100.00%"
