"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,779","57.45%","2,283","39.44%","13,062","53.20%"
"White","7,693","41.00%","3,416","59.02%","11,109","45.25%"
"Hispanic","155","0.83%","37",".64%","192",".78%"
"Native American","17","13.00%","13",".22%","30",".12%"
"Asian","56",".30%","10",".17%","66",".27%"
"Data Unavailable","63",".34%","29",".50%","92",".37%"
"TOTAL","18,763","112.91%","5,788","100.00%","24,551","100.00%"
