"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,039","59.71%","3,121","47.76%","16,160","56.96%"
"White","8,478","38.82%","3,333","51.00%","11,811","41.63%"
"Hispanic","151",".69%","26",".40%","177",".62%"
"Native American","22",".10%","8",".12%","30",".11%"
"Asian","59",".27%","17",".26%","76",".27%"
"Data Unavailable","88",".40%","30",".46%","118",".42%"
"TOTAL","21,837","100.00%","6,535","100.00%","28,372","100.00%"
