"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,384","60.52%","2,318","42.18%","13,702","56.38%"
"White","7,182","38.18%","3,091","56.25%","10,273","42.27%"
"Hispanic","139","0.74%","33",".60%","172",".71%"
"Native American","15",".08%","17",".31%","32",".13%"
"Asian","58",".31%","12",".22%","70",".29%"
"Data Unavailable","31",".16%","24",".44%","55",".23%"
"TOTAL","18,809","100.00%","5,495","100.00%","24,304","100.00%"
