"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,607","59.64%","3,099","48.60%","15,706","57.09%"
"White","8,183","38.71%","3,187","49.98%","11,370","41.33%"
"Hispanic","150",".71%","23",".36%","173",".63%"
"Native American","16",".08%","10",".16%","26",".09%"
"Asian","66",".31%","15",".24%","81",".29%"
"Data Unavailable","115",".54%","42",".66%","157",".57%"
"TOTAL","21,137","100.00%","6,376","100.00%","27,513","100.00%"
