"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","9,371","58.83%","2,547","51.27%","11,918","57.03%"
"White","6,277","39.41%","2,318","46.66%","8,595","41.13%"
"Hispanic","101","0.63%","15","0.30%","116","0.56%"
"Native American","19","0.12%","4","0.08%","23","0.11%"
"Asian","39","0.24%","17","0.34%","56","0.27%"
"Data Unavailable","122","0.77%","67","1.35%","189","0.90%"
"TOTAL","15,929","100.00%","4,968","100.00%","20,897","100.00%"
