"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,832","59.78%","3,169","48.92%","16,001","57.26%"
"White","8,291","38.63%","3,213","49.60%","11,504","41.17%"
"Hispanic","149",".69%","27",".42%","176",".63%"
"Native American","21",".10%","10",".15%","31",".11%"
"Asian","71",".33%","17",".26%","88",".31%"
"Data Unavailable","101",".47%","42",".65%","143",".51%"
"TOTAL","21,465","100.00%","6,478","100.00%","27,943","100.00%"
