"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,604","59.69%","3,267","47.51%","16,871","56.87%"
"White","8,847","38.82%","3,528","51.31%","12,375","41.71%"
"Hispanic","158",".69%","30",".44%","188",".63%"
"Native American","23",".10%","5",".07%","28",".09%"
"Asian","78",".34%","16",".23%","94",".32%"
"Data Unavailable","82",".36%","30",".44%","112",".38%"
"TOTAL","22,792","100.00%","6,876","100.00%","29,668","100.00%"
