"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,383","60.04%","1,887","55.65%","9,270","59.09%"
"White","4,703","38.25%","1,476","43.53%","6,179","39.39%"
"Hispanic","47","0.38%","12","0.35%","59","0.38%"
"Native American","30","0.24%","5","0.15%","35","0.22%"
"Asian","38","0.31%","11","0.32%","49","0.31%"
"Data Unavailable","96","0.78%","0","0.00%","96","0.61%"
"TOTAL","12,297","100.00%","3,391","100.00%","15,688","100.00%"
