"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,180","60.61%","3,580","48.25%","18,760","57.79%"
"White","9,467","37.80%","3,687","49.70%","13,154","40.52%"
"Hispanic","166",".66%","62",".84%","228",".70%"
"Native American","41",".16%","18",".24%","59",".18%"
"Asian","86",".34%","26",".35%","112",".34%"
"Data Unavailable","105",".42%","46",".62%","151",".47%"
"TOTAL","25,045","100.00%","7,419","100.00%","32,464","100.00%"
