"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,957","59.69%","3,190","48.52%","16,147","57.09%"
"White","8,413","38.76%","3,284","49.95%","11,697","41.36%"
"Hispanic","144",".66%","26",".40%","170",".60%"
"Native American","21",".10%","11",".17%","32",".11%"
"Asian","71",".33%","20",".30%","91",".32%"
"Data Unavailable","102",".47%","44",".67%","146",".52%"
"TOTAL","21,708","100.00%","6,575","100.00%","28,283","100.00%"
