"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,179","58.52%","2,774","49.60%","13,953","56.50%"
"White","7,458","39.04%","2,676","47.85%","10,134","41.03%"
"Hispanic","153","0.80%","25","0.45%","178","0.72%"
"Native American","25","0.13%","6","0.11%","31","0.13%"
"Asian","58","0.30%","13","0.23%","71","0.29%"
"Data Unavailable","231","1.21%","99","1.77%","330","1.34%"
"TOTAL","19,104","100.00%","5,593","100.00%","24,697","100.00%"
