"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","8,722","59.76%","2,267","52.66%","10,989","57.89%"
"White","5,738","39.31%","1,990","46.23%","7,728","40.71%"
"Hispanic","71","0.49%","16","0.37%","87","0.46%"
"Native American","29","0.20%","8","0.19%","37","0.19%"
"Asian","35","0.24%","24","0.56%","59","0.31%"
"Data Unavailable","0","0.00%","0","0.00%","84","0.44%"
"TOTAL","14,595","100.00%","4,305","100.00%","18,984","100.00%"
