"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,561","58.17%","2,758","48.20%","14,319","55.94%"
"White","7,798","39.24%","2,827","49.41%","10,625","41.51%"
"Hispanic","186","0.94%","23","0.40%","209","0.82%"
"Native American","29","0.15%","5","0.09%","34","0.13%"
"Asian","52","11.00%","11","0.19%","63","0.25%"
"Data Unavailable","248","1.25%","98","1.71%","346","1.35%"
"TOTAL","19,874","110.74%","5,722","100.00%","25,596","100.00%"
