"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,114","58.41%","2,761","49.43%","13,875","56.37%"
"White","7,438","39.09%","2,685","48.07%","10,123","41.13%"
"Hispanic","156","0.82%","26","0.47%","182","0.74%"
"Native American","27","0.14%","6","0.11%","33","0.13%"
"Asian","55","0.29%","12","0.21%","67","0.27%"
"Data Unavailable","236","1.24%","96","1.72%","332","1.35%"
"TOTAL","19,026","100.00%","5,586","100.00%","24,612","100.00%"
