"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,116","60.92%","3,701","47.84%","19,817","57.96%"
"White","9,966","37.67%","3,926","50.75%","13,892","40.63%"
"Hispanic","172","0.65%","47",".61%","219",".64%"
"Native American","30",".11%","8",".10%","38",".11%"
"Asian","78",".29%","20",".26%","98",".29%"
"Data Unavailable","94",".36%","34",".44%","128",".37%"
"TOTAL","26,456","100.00%","7,736","100.00%","34,192","100.00%"
