"TOTAL","","33,762","100.00%","","",""
"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,353","58.32%","2,220","41.07%","12,573","54.29%"
"White","7,142","40.23%","3,102","57.39%","10,244","44.24%"
"Hispanic","146","0.82%","35",".65%","181",".78%"
"Native American","15",".08%","16",".30%","31",".13%"
"Asian","55",".31%","14",".26%","69",".30%"
"Data Unavailable","41",".23%","18",".33%","59",".25%"
"TOTAL","17,752","100.00%","5,405","100.00%","23,157","100.00%"
