"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,317","58.18%","2,370","45.79%","12,687","55.38%"
"White","6,952","39.20%","2,676","51.70%","9,628","42.03%"
"Hispanic","149","0.84%","21","0.41%","170","0.74%"
"Native American","22","0.12%","","0.08%","26","0.11%"
"Asian","45","0.25%","44","0.08%","49","0.21%"
"Data Unavailable","249","1.40%","101","1.95%","350","1.53%"
"TOTAL","17,734","100.00%","5,176","100.00%","22,910","100.00%"
