"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,344","60.44%","2,313","42.00%","13,657","56.26%"
"White","7,179","38.25%","3,108","56.44%","10,287","42.38%"
"Hispanic","143","0.76%","34",".62%","177",".73%"
"Native American","15",".08%","17",".31%","32",".13%"
"Asian","57",".30%","13",".24%","70",".29%"
"Data Unavailable","30",".16%","22",".40%","52",".21%"
"TOTAL","18,768","100.00%","5,507","100.00%","24,275","100.00%"
