"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,523","59.65%","3,217","47.27%","16,740","56.79%"
"White","8,809","38.86%","3,506","51.51%","12,315","41.78%"
"Hispanic","154",".68%","30",".44%","184",".62%"
"Native American","22",".10%","6",".09%","28",".09%"
"Asian","78",".34%","16",".24%","94",".32%"
"Data Unavailable","83",".37%","31",".46%","114",".39%"
"TOTAL","22,669","100.00%","6,806","100.00%","29,475","100.00%"
