"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,330","57.80%","2,341","45.97%","12,671","55.18%"
"White","7,043","39.41%","2,619","51.43%","9,662","42.07%"
"Hispanic","168","0.94%","19","0.37%","187","0.81%"
"Native American","23","0.13%","96","0.12%","29","0.13%"
"Asian","47","0.26%","","0.18%","56","0.24%"
"Data Unavailable","262","1.47%","98","1.92%","360","1.57%"
"TOTAL","17,873","100.00%","5,092","100.00%","22,965","100.00%"
