"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,107","58.56%","2,899","51.05%","14,006","56.83%"
"White","7,453","39.29%","2,660","46.84%","10,113","41.03%"
"Hispanic","139","0.73%","21","0.37%","160","0.65%"
"Native American","23","0.12%","5","0.09%","28","0.11%"
"Asian","49","0.26%","18","0.32%","67","0.27%"
"Data Unavailable","196","1.03%","76","1.34%","272","1.10%"
"TOTAL","18,967","100.00%","5,679","100.00%","24,646","100.00%"
