"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,377","60.66%","3,394","48.06%","17,771","57.77%"
"White","8,965","37.83%","3,571","50.57%","12,536","40.75%"
"Hispanic","167",".70%","38",".54%","205",".67%"
"Native American","26",".11%","6",".08%","32",".10%"
"Asian","72",".30%","19",".27%","91",".30%"
"Data Unavailable","93",".39%","34",".48%","127",".41%"
"TOTAL","23,700","100.00%","7,062","100.00%","30,762","100.00%"
