"OFFENSE","Average Sentence Length in Years"
"CAPITAL RAPE","22.7"
"CHILD ENDANGERMENT","7.8"
"CHILD MOLESTATION","10.2"
"CHILD PORNOGRAPHY","4.7"
"EXPLOITATION/CHILD","5.0"
"FONDLING","7.2"
"FONDLING A CHILD","6.6"
"GRATIFICATION/LUST","7.2"
"KIDNAP MINOR","4.0"
"RAPE","37.0"
"SEX ASSAULT","38.3"
"SEXUAL BATTERY","8.4"
"STATUTORY RAPE","6.9"
"UNLAWFUL TOUCHING/CHILD","7.4"
"UNNATURAL INTERCOURSE","1.0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","4.7"
"SEXUAL ABUSE - VULNERABLE ADULT","6.0"
"PROCURING SEXUAL SERVITUDE OF A MINOR","7.0"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","2.0"
"SEX BETWEEN TEACHER AND PUPIL","8.0"
"RAPE WITH A WEAPON","50.0"
"HUMAN TRAFFICKING","4.0"
"CHILD NEGLECT - SEX OFFENSE","2.0"
