"Offense","Male","Female","Total","Percent"
"DRUG","283","45","328","32.77%"
"NON-VIOLENT","329","43","372","37.16%"
"SEX","114","2","116","11.59%"
"VIOLENT","172","13","185","18.48%"
"Total","898","103","1,001","100.00%"
