"Race","Male","Female","Total","Percent"
"White","165","12","177","48.63%"
"Black","172","3","175","48.08%"
"Hispanic","10","0","10","2.75%"
"Other","2","0","2","0.55%"
"Total","349","15","364","100.00%"
