"Age","Male","Female","Total","Percent"
"50-59","677","80","757","75.62%"
"60-69","186","22","208","20.78%"
"70-79","30","1","31","3.10%"
"Over 80","5","0","5","0.50%"
"Total","898","103","1,001","100.00%"
