"Offense","Male","Female","Total","Percent"
"DRUG","2,505","412","2,917","36.66%"
"NON-VIOLENT","2,516","413","2,929","36.81%"
"SEX","349","15","364","4.57%"
"VIOLENT","1,616","131","1,747","21.96%"
"Total","6,986","971","7,957","100.00%"
