"Offense","Black","White","Hispanic","Other","Total"
"DRUG","137","144","0","2","283"
"NON-VIOLENT","163","164","2","0","329"
"SEX","44","70","0","0","114"
"VIOLENT","113","59","0","0","172"
"Total","457","437","2","2","898"
