"OFFENSE","Average Age at Time of Sentence"
"CAPITAL RAPE","37"
"CHILD ENDANGERMENT","35"
"CHILD MOLESTATION","41"
"CHILD PORNOGRAPHY","34"
"EXPLOITATION/CHILD","39"
"FONDLING","41"
"FONDLING A CHILD","33"
"GRATIFICATION/LUST","41"
"KIDNAP MINOR","52"
"RAPE","31"
"SEX ASSAULT","35"
"SEXUAL BATTERY","31"
"STATUTORY RAPE","30"
"UNLAWFUL TOUCHING/CHILD","41"
"UNNATURAL INTERCOURSE","27"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","35"
"SEXUAL ABUSE - VULNERABLE ADULT","48"
"PROCURING SEXUAL SERVITUDE OF A MINOR","46"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","41"
"SEX BETWEEN TEACHER AND PUPIL","45"
"RAPE WITH A WEAPON","19"
"HUMAN TRAFFICKING","30"
"CHILD NEGLECT - SEX OFFENSE","61"
