"County","Offenders","Percent"
"LAUDERDALE","1","12.5%"
"WASHINGTON","1","12.5%"
"HINDS","1","12.5%"
"PIKE","2","25.0%"
"FORREST","1","12.5%"
"LEE","1","12.5%"
"FRANKLIN","1","12.5%"
"TOTAL","8","100.0%"
