"EXIT TYPE","TOTAL","PERCENT"
"OTHER","110","1.38%"
"ERS","658","8.27%"
"EXPIRATION OF SENTENCE","510","6.41%"
"DEATHS","85","1.07%"
"HOUSE ARREST","76","0.96%"
"PAROLE","5098","64.07%"
"PROBATION","1402","17.62%"
"CONDITIONAL RELEASE","1","0.01%"
"MEDICAL RELEASE","6","0.08%"
"RRP","11","0.14%"
"TOTAL","7957","100.00%"
