"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","2,929","719","3,648","45.85%"
"Black","3,970","246","4,216","52.98%"
"Hispanic","62","5","67","0.84%"
"Other","24","1","25","0.31%"
"Unknown","1","0","1","0.01%"
"TOTAL","6,986","971","7,957","100.00%"
