"Race","Male","Female","Total","Percent"
"White","437","75","512","51.15%"
"Black","457","28","485","48.45%"
"Hispanic","2","0","2","0.20%"
"Other","2","0","2","0.20%"
"Total","898","103","1001","100.00%"
