"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,204","47.63%"
"Non-Violent","3,203","36.29%"
"Sex","141","1.60%"
"Violent","1,279","14.49%"
"TOTAL","8,827","100.00%"
