"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,251","64.87%"
"Property","1,641","25.04%"
"Violent","615","9.39%"
"Sex","46",".70%"
"TOTAL","6,553","100.00%"
