"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,288","65.33%"
"Property","1,626","24.77%"
"Violent","606","9.23%"
"Sex","44",".67%"
"TOTAL","6,564","100.00%"
