"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,159","47.67%"
"Non-Violent","3,085","35.36%"
"Sex","127","1.46%"
"Violent","1,354","15.52%"
"TOTAL","8,725","100.00%"
