"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,175","47.26%"
"Non-Violent","3,218","36.42%"
"Sex","138","1.56%"
"Violent","1,304","14.76%"
"TOTAL","8,835","100.00%"
