"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,751","60.65%","2,423","43.22%","14,174","56.74%"
"White","7,382","38.10%","3,102","55.33%","10,484","41.97%"
"Hispanic","146","0.75%","33",".59%","179",".72%"
"Native American","18",".09%","14",".25%","32",".13%"
"Asian","51",".26%","11",".20%","62",".25%"
"Data Unavailable","27",".14%","23",".41%","50",".20%"
"TOTAL","19,375","100.00%","5,606","100.00%","24,981","100.00%"
