"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,400","60.43%","3,398","47.95%","17,798","57.57%"
"White","9,068","38.06%","3,589","50.65%","12,657","40.94%"
"Hispanic","168",".71%","38",".54%","206",".67%"
"Native American","26",".11%","6",".08%","32",".10%"
"Asian","72",".30%","19",".27%","91",".29%"
"Data Unavailable","94",".39%","36",".51%","130",".42%"
"TOTAL","23,828","100.00%","7,086","100.00%","30,914","100.00%"
