"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,512","58.55%","2,751","48.84%","14,263","56.39%"
"White","7,634","38.83%","2,748","48.78%","10,382","41.05%"
"Hispanic","174","0.89%","22","0.39%","196","0.77%"
"Native American","30","0.15%","5","0.09%","35","0.14%"
"Asian","54","0.27%","12","0.21%","66","0.26%"
"Data Unavailable","257","1.31%","95","1.69%","352","1.39%"
"TOTAL","19,661","100.00%","5,633","100.00%","25,294","100.00%"
