"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,123","59.52%","2,316","41.84%","13,439","55.48%"
"White","7,308","39.11%","3,138","56.68%","10,446","43.12%"
"Hispanic","148","0.79%","34",".61%","182",".75%"
"Native American","13",".07%","15",".27%","28",".12%"
"Asian","66",".35%","13",".23%","79",".33%"
"Data Unavailable","29",".16%","20",".36%","49",".20%"
"TOTAL","18,687","100.00%","5,536","100.00%","24,223","100.00%"
