"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,150","60.79%","2,550","43.84%","14,700","56.97%"
"White","7,590","37.97%","3,183","54.73%","10,773","41.75%"
"Hispanic","147","0.74%","36",".62%","183",".71%"
"Native American","18",".09%","13",".22%","31",".12%"
"Asian","53",".27%","11",".19%","64",".25%"
"Data Unavailable","29",".15%","23",".40%","52",".20%"
"TOTAL","19,987","100.00%","5,816","100.00%","25,803","100.00%"
