"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,750","58.73%","2,520","46.80%","13,270","56.02%"
"White","7,097","38.77%","2,748","51.03%","9,845","41.56%"
"Hispanic","154","0.84%","22","0.41%","176","0.74%"
"Native American","24","0.13%","2","0.04%","26","0.11%"
"Asian","50","0.27%","8","0.15%","58","0.24%"
"Data Unavailable","229","1.25%","85","1.58%","314","1.33%"
"TOTAL","18,304","100.00%","5,385","100.00%","23,689","100.00%"
