"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,385","58.27%","2,219","40.63%","12,604","54.13%"
"White","7,184","40.31%","3,160","57.85%","10,344","44.43%"
"Hispanic","136","0.76%","38",".70%","174",".75%"
"Native American","18",".10%","12",".22%","30",".13%"
"Asian","57",".32%","14",".26%","71",".30%"
"Data Unavailable","42",".24%","19",".35%","61",".26%"
"TOTAL","17,822","100.00%","5,462","100.00%","23,284","100.00%"
