"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,801","59.92%","2,818","47.84%","14,619","57.14%"
"White","7,582","38.50%","2,990","50.76%","10,572","41.32%"
"Hispanic","128",".65%","21",".36%","149",".58%"
"Native American","17",".09%","7",".12%","24",".09%"
"Asian","60",".30%","13",".22%","73",".29%"
"Data Unavailable","107",".54%","42",".71%","149",".58%"
"TOTAL","19,695","100.00%","5,891","100.00%","25,586","100.00%"
