"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFENDERS","%"
"","Alcorn","99","1.21","Montgomery","44",".54"
"","Attala","55",".67","Panola","92","1.12"
"","Benton","12",".15","Pontotoc","119","1.45"
"","Bolivar","105","1.28","Prentiss","98","1.19"
"","Calhoun","103","1.25","Quitman","29",".35"
"","Carroll","24",".29","Sunflower","80",".97"
"","Chickasaw","90","1.10","Tallahatchie","51",".62"
"Northern","Choctaw","21",".26","Tate","58",".71"
"Counties","","","","","",""
"","Coahoma","105","1.28","Tippah","49",".60"
"","Desoto","300","3.65","Tishomingo","18",".22"
"","Grenada","96","1.17","Tunica","74",".90"
"","Itawamba","32",".39","Union","99","1.21"
"","Lafayette","85","1.04","Washington","101","1.23"
"","Lee","303","3.69","Webster","21",".26"
"","Leflore","95","1.16","Winston","43",".52"
"","Marshall","121","1.47","Yalobusha","14",".17"
"","Monroe","152","1.85","TOTAL","2,788","33.97"
