"COUNTY","OFFENDERS","%"
"Clarke","52",".63"
"Lawrence","28",".34"
"Clay","88","1.07"
"Leake","68",".83"
"Covington","24",".29"
"Lowndes","267","3.25"
"Forrest","270","3.29"
"Marion","88","1.07"
"George","51",".62"
"Neshoba","80",".97"
"Greene","32",".39"
"Newton","36",".44"
"Hancock","67",".82"
"Noxubee","15",".18"
"Harrison","704","8.58"
"Oktibbeha","120","1.46"
"Jackson","248","3.02"
"Pearl River","152","1.85"
"Jasper","25",".30"
"Perry","21",".26"
"Jeff Davis","21",".26"
"Scott","81",".99"
"Jones","134","1.63"
"Simpson","38",".46"
"Kemper","20",".24"
"Smith","25",".30"
"Lamar","103","1.25"
"Stone","43",".52"
"Lauderdale","322","3.92"
"Wayne","51",".62"
"TOTAL","3,274","39.85"
