"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","422","277","13","1","713","9.94"
"1 - 2 Years","1,035","571","21","9","1,636","22.81"
"3 - 5 Years","1,578","1,032","17","15","2,642","36.83"
"6 - 10 Years","1,092","500","10","5","1,607","22.40"
"11 - 20 Years","273","114","2","0","389","5.42"
"21 -30 Years","41","13","0","0","54",".75"
"Greater Than 30 Years","21","14","0","0","35",".49"
"Life","50","30","0","0","80","1.12"
"Death","0","1","0","0","1",".01"
"Verification Pending","12","4","0","0","16",".22"
"TOTAL","4,524","2,556","63","30","7,173","100%"
