"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","806","483","6","9","1,304"
"Homicide/Manslaughter","115","52","1","1","169"
"Possession of Drugs","988","711","32","13","1,744"
"Sale of Drugs","656","132","0","1","789"
"Robbery","376","85","1","1","463"
"Sex Offense","156","124","4","2","286"
"Violent","306","120","1","0","427"
"Property","1,121","849","18","13","2,001"
"TOTAL","4,524","2,556","63","40","7,183"
