"Sentence
Length","Combined
Male & Female","Percent"
"Less than 1 year","92","0.38%"
"1 - 2 Years","2,242","9.34%"
"3 - 5 Years","6,674","27.81%"
"6 - 10 Years","6,400","26.67%"
"11 - 20 Years","3,398","14.16%"
"21 -30 Years","953","3.97%"
"Greater Than 30 Years","648","2.70%"
"Life","1,811","7.55%"
"Death","69","0.29%"
"Verification Pending","1,709","7.12%"
"TOTAL","23,996","100.00%"
