"Age","MALES","","","","Unknown
Race","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"15","3","0","0","0","0","0","0","0","0","3","0.01%"
"16","7","1","0","0","0","1","0","0","0","9","0.04%"
"17","28","13","0","1","2","3","0","0","0","47","0.20%"
"18 - 19","328","93","2","5","2","10","8","0","0","448","1.87%"
"20 - 29","6,584","2,216","42","23","1","388","270","4","5","9,533","39.73%"
"30 - 39","4,316","1,862","39","13","5","444","380","4","2","7,065","29.44%"
"40 - 49","2,754","1,518","31","9","5","320","289","0","6","4,932","20.55%"
"50 - 59","860","539","9","4","1","63","71","1","1","1,549","6.46%"
"60 - 69","146","145","2","1","2","9","12","0","0","317","1.32%"
"70 - 79","29","34","0","0","0","1","2","0","0","66","0.28%"
"80 and over","7","4","0","0","0","0","0","0","0","11","0.05%"
"Verification Pending","5","10","0","1","0","0","0","0","0","16","0.07%"
"Total","15,067","6,435","125","57","18","1,239","1,032","9","14","23,996","100.00%"
