"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,533","","65.43%","","","","666","","","38.99%","","","","13,199","","","","63.26%"
"White","6,344","","33.12%","","","","1,016","","","59.48%","","","","7,360","","","","35.28%"
"Hispanic","196","","1.02%","","","","19","","","1.11%","","","","215","","","","1.03%"
"Native American","27","",".14%","","","","3","","",".18%","","","","30","","","",".14%"
"Asian","49","",".26%","","","","2","","",".12%","","","","51","","","",".24%"
"Data Unavailable","7","",".04%","","","","2","","",".12%","","","","9","","","",".04%"
"TOTAL","19,156","","100.00%","","","","1,708","","","100.00%","","","","20,864","","","","100.00%"
