"Classification","Male and Female","Percent"
"Minimum-Community","2342","11.25%"
"Minimum-Non -Community","3339","16.05%"
"Medium","10535","50.62%"
"Close","3100","14.90%"
"DR","48","0.23%"
"Unclassified","1446","6.95%"
"Total","20810","100.00%"
