"Classification","Male Classification","Percent"
"Minimum-Community","2009","10.54%"
"Minimum-Non -Community","2959","15.53%"
"Medium","9972","52.33%"
"Close","2939","15.42%"
"DR","47","0.25%"
"Unclassified","1130","5.93%"
"Total","19056","100.00%"
