"","","TOTAL","3,976","42.52"
"","","Number","","Percent"
"","Northern","3,106","","33.22"
"","Central","2,229","","23.84"
"TOTAL","","","",""
"","Southern","3,976","","42.52"
"","Verification Pending","40","",".43"
"","TOTAL","9,351","","100.00"
