"COUNTY","JUN ‘11","JUN '10","JUN '09","JUN '08","JUN '07","JUN '06"
"Adams","2","3","4","5","10","2"
"Alcorn","3","6","2","4","1","5"
"Amite","2","3","0","0","0","1"
"Attala","7","12","6","5","5","0"
"Benton","5","6","1","0","2","0"
"Bolivar","4","7","2","2","3","1"
"Calhoun","3","5","3","1","3","0"
"Carroll","2","9","0","0","2","2"
"Chickasaw","9","22","8","4","3","3"
"Choctaw","4","4","1","2","1","0"
"Clairborne","1","1","1","0","0","2"
"Clarke","1","2","0","0","0","0"
"Clay","11","17","4","7","8","13"
"Coahoma","4","4","2","2","2","0"
"Copiah","14","12","2","6","5","3"
"Covington","2","3","1","0","0","0"
"DeSoto","32","39","4","8","6","4"
"Forrest","15","13","3","8","3","5"
"Franklin","4","4","2","1","0","0"
"George","0","0","3","1","3","1"
"Greene","0","1","0","0","2","1"
"Grenada","10","9","6","2","5","2"
"Hancock","2","4","2","3","2","4"
"Harrison","17","33","11","9","13","1"
"Hinds","43","36","20","11","11","9"
"Holmes","43","1","3","3","1","0"
"Humphreys","1","0","1","0","1","0"
"Issaquena","1","0","0","0","0","0"
"Itawamba","3","10","2","2","0","0"
"Jackson","14","4","3","2","3","4"
"Jasper","2","2","3","0","0","2"
"Jefferson","0","2","2","1","0","0"
"Jeff Davis","3","4","0","0","1","0"
"Jones","11","14","11","6","6","2"
"Kemper","1","3","0","0","0","0"
"Lafayette","0","6","1","3","1","3"
"Lamar","2","0","1","4","1","1"
