"COUNTY","JUN ‘11","JUN '10","JUN '09","JUN '08","JUN '07","JUN '06"
"Lauderdale","13","11","6","2","7","5"
"Lawrence","3","2","2","0","0","0"
"Leake","6","12","8","5","4","2"
"Lee","25","33","10","4","9","10"
"Leflore","6","5","5","3","0","1"
"Lincoln","11","9","1","0","0","3"
"Lowndes","20","40","31","15","14","10"
"Madison","26","15","8","4","6","1"
"Marion","4","5","3","5","2","1"
"Marshall","5","16","4","0","2","1"
"Monroe","12","18","3","9","8","11"
"Montgomery","7","1","2","0","0","1"
"Neshoba","10","16","8","8","3","8"
"Newton","8","5","11","3","3","2"
"Noxubee","4","3","0","4","3","0"
"Oktibbeha","18","27","11","6","4","9"
"Panola","9","25","7","3","2","3"
"Pearl River","9","2","3","0","0","1"
"Perry","0","0","0","0","0","0"
"Pike","12","15","2","0","2","2"
"Pontotoc","9","18","6","3","6","12"
"Prentiss","1","5","3","0","4","1"
"Quitman","1","0","0","0","0","0"
"Rankin","30","26","12","8","8","12"
"Scott","14","16","5","7","4","1"
"Sharkey","0","2","0","0","0","0"
"Simpson","4","3","2","2","0","0"
"Smith","2","2","1","0","1","2"
"Stone","4","0","0","0","1","0"
"Sunflower","5","5","3","2","2","3"
"Tallahatchie","5","3","4","3","6","3"
"Tate","11","11","3","1","2","0"
"Tippah","1","3","2","0","2","0"
"Tishomingo","1","1","1","1","1","0"
"Tunica","4","3","1","1","0","0"
"Union","5","9","3","2","4","5"
"Walthall","4","4","1","1","0","0"
